,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,confirmed,cured,dead,updateTime,updateDate,dailyNew_confirmed,dailyNew_dead,dailyNew_cured
50256,内蒙古自治区,Neimenggu,150000,赤峰,Chifeng,150400.0,1,0,0,2020-01-25 22:04:50.153,2020-01-25,,,
50254,内蒙古自治区,Neimenggu,150000,鄂尔多斯,Ordos,150600.0,2,0,0,2020-01-25 22:04:50.153,2020-01-25,,,
50253,内蒙古自治区,Neimenggu,150000,锡林郭勒,,,2,0,0,2020-01-25 22:04:50.153,2020-01-25,,,
50274,北京市,Beijing,110000,丰台,,,2,0,0,2020-01-25 20:15:16.303,2020-01-25,0.0,0.0,0.0
50267,北京市,Beijing,110000,外地来京人员,People from other cities,-1.0,11,0,0,2020-01-25 20:15:16.303,2020-01-25,1.0,0.0,0.0
50273,北京市,Beijing,110000,大兴,,,2,2,0,2020-01-25 20:15:16.303,2020-01-25,0.0,0.0,1.0
50271,北京市,Beijing,110000,昌平,,,3,0,0,2020-01-25 20:15:16.303,2020-01-25,0.0,0.0,0.0
50269,北京市,Beijing,110000,朝阳,,,6,0,0,2020-01-25 20:15:16.303,2020-01-25,5.0,0.0,0.0
50268,北京市,Beijing,110000,海淀,,,8,0,0,2020-01-25 20:15:16.303,2020-01-25,2.0,0.0,0.0
50275,北京市,Beijing,110000,石景山,,,1,0,0,2020-01-25 20:15:16.303,2020-01-25,0.0,0.0,0.0
50270,北京市,Beijing,110000,西城,,,4,0,0,2020-01-25 20:15:16.303,2020-01-25,0.0,0.0,0.0
50272,北京市,Beijing,110000,通州,,,3,0,0,2020-01-25 20:15:16.303,2020-01-25,1.0,0.0,0.0
50276,北京市,Beijing,110000,顺义,,,1,0,0,2020-01-25 20:15:16.303,2020-01-25,0.0,0.0,0.0
50596,吉林省,Jilin,220000,吉林,,,2,0,0,2020-01-25 11:26:40.984,2020-01-25,1.0,0.0,0.0
50598,吉林省,Jilin,220000,松原,Songyuan,220700.0,1,0,0,2020-01-25 11:26:40.984,2020-01-25,0.0,0.0,0.0
